Strain,Category2,Organism-Roary,BapsOne,BapsTwo,Bazinet-Species,PhospholipaseC,nhe,HemolysinIII,HemolysinII,HemolysinA,HBL,EntFM,Cereulide,bceT,Cytk1,Combined
c-NBCE0115,ClinicalInvasive,Bacillus. megaterium,n/a,n/a,Phenotypic Bacillus cereus,,,,,,,,,,,Combined
c-NBCE0116,ClinicalInvasive,Bacillus. megaterium,n/a,n/a,Phenotypic Bacillus cereus,,,,,,,,,,,Combined
c-NBCE0117,ClinicalInvasive,Bacillus. megaterium,n/a,n/a,Phenotypic Bacillus cereus,,,,,,,,,,,Combined
c-NBCE0118,ClinicalInvasive,Bacillus. megaterium,n/a,n/a,Phenotypic Bacillus cereus,,,,,,,,,,,Combined
c-NBCE0119,ClinicalInvasive,Bacillus. megaterium,n/a,n/a,Phenotypic Bacillus cereus,,nhe,,,,,,,,,Combined
c-NBCE0130,ClinicalInvasive,Bacillus cereus,3,15,Phenotypic Bacillus cereus,PhospholipaseC,nhe,HemolysinIII,,HemolysinA,,,,,,Combined
c-NBCE0131,ClinicalInvasive,Bacillus cereus,7,30,Phenotypic Bacillus cereus,PhospholipaseC,nhe,HemolysinIII,,HemolysinA,HBL,EntFM,,,Cytk1,Combined
c-NBCE0132,ClinicalInvasive,Bacillus cereus,8,35,Phenotypic Bacillus cereus,PhospholipaseC,nhe,,,HemolysinA,,EntFM,,,,Combined
c-NBCE0133,ClinicalInvasive,Bacillus cereus,8,35,Phenotypic Bacillus cereus,PhospholipaseC,nhe,,,HemolysinA,,EntFM,,,,Combined
c-NBCE0134,ClinicalInvasive,Bacillus cereus,8,35,Phenotypic Bacillus cereus,PhospholipaseC,nhe,,,HemolysinA,,EntFM,,,,Combined
c-NBCE0135,ClinicalInvasive,Bacillus cereus,8,35,Phenotypic Bacillus cereus,PhospholipaseC,nhe,,,HemolysinA,,EntFM,,,,Combined
c-NBCE0136,ClinicalInvasive,Bacillus cereus,8,35,Phenotypic Bacillus cereus,PhospholipaseC,nhe,,,HemolysinA,,EntFM,,,,Combined
c-NBCE0137,ClinicalInvasive,Bacillus cereus,7,30,Phenotypic Bacillus cereus,PhospholipaseC,,HemolysinIII,,HemolysinA,HBL,EntFM,,,Cytk1,Combined
c-NBCE0138,ClinicalInvasive,Escherichia-coli,n/a,n/a,Phenotypic Bacillus cereus,,nhe,,,,,,,,,Combined
c-NBCE0139,ClinicalInvasive,Bacillus cereus,7,30,Phenotypic Bacillus cereus,PhospholipaseC,nhe,HemolysinIII,,HemolysinA,HBL,EntFM,,,Cytk1,Combined
c-NBCE0140,ClinicalInvasive,Bacillus cereus,7,30,Phenotypic Bacillus cereus,PhospholipaseC,nhe,HemolysinIII,,HemolysinA,HBL,EntFM,,bceT,Cytk1,Combined
c-NBCE0141,ClinicalInvasive,Bacillus cereus,7,30,Phenotypic Bacillus cereus,PhospholipaseC,,HemolysinIII,,HemolysinA,HBL,EntFM,,,Cytk1,Combined
c-NBCE0143,ClinicalInvasive,Bacillus cereus,7,30,Phenotypic Bacillus cereus,PhospholipaseC,nhe,HemolysinIII,,HemolysinA,HBL,EntFM,,,Cytk1,Combined
c-NBCE0149,ClinicalInvasive,Myroides-odoratus,n/a,n/a,Phenotypic Bacillus cereus,,,,,,,,,,,Combined
c-NBCE0150,ClinicalInvasive,Myroides-odoratus,n/a,n/a,Phenotypic Bacillus cereus,,,,,,,,,,,Combined
c-NBCE0151,ClinicalInvasive,Myroides-odoratus,n/a,n/a,Phenotypic Bacillus cereus,,,,,,,,,,,Combined
c-NBCE0152,ClinicalInvasive,Myroides-odoratus,n/a,n/a,Phenotypic Bacillus cereus,,,,,,,,,,,Combined
c-NBCE0153,ClinicalInvasive,Myroides-odoratus,n/a,n/a,Phenotypic Bacillus cereus,,nhe,,,,,,,,,Combined
c-NBCE0161,ClinicalInvasive,Bacillus. megaterium,n/a,n/a,Phenotypic Bacillus cereus,,,,,,,,,,,Combined
c-NBCE0162,ClinicalInvasive,Bacillus. megaterium,n/a,n/a,Phenotypic Bacillus cereus,,,,,,,,,,,Combined
c-NBCE0163,ClinicalInvasive,Bacillus. megaterium,n/a,n/a,Phenotypic Bacillus cereus,,,,,,,,,,,Combined
c-NBCE0164,ClinicalInvasive,Bacillus. megaterium,n/a,n/a,Phenotypic Bacillus cereus,,,,,,,,,,,Combined
c-NBCE0165,ClinicalInvasive,Bacillus. megaterium,n/a,n/a,Phenotypic Bacillus cereus,,nhe,,,,,,,,,Combined
c-NBCE0189,ClinicalInvasive,Bacillus cereus,1,4,Phenotypic Bacillus cereus,PhospholipaseC,nhe,HemolysinIII,,HemolysinA,,,,,,Combined
c-NBCE0190,ClinicalInvasive,Bacillus cereus,1,4,Phenotypic Bacillus cereus,PhospholipaseC,nhe,HemolysinIII,,HemolysinA,,EntFM,,,,Combined
c-NBCE0191,ClinicalInvasive,Bacillus cereus,1,4,Phenotypic Bacillus cereus,PhospholipaseC,nhe,HemolysinIII,,HemolysinA,,,,,,Combined
c-NBCE0192,ClinicalInvasive,Bacillus cereus,1,4,Phenotypic Bacillus cereus,PhospholipaseC,nhe,HemolysinIII,,HemolysinA,,EntFM,,,,Combined
c-NBCE0193,ClinicalInvasive,Bacillus cereus,1,4,Phenotypic Bacillus cereus,PhospholipaseC,nhe,HemolysinIII,,HemolysinA,,,,,,Combined
c-NBCE0199,ClinicalInvasive,Bacillus cereus,7,30,Phenotypic Bacillus cereus,,,HemolysinIII,,HemolysinA,,EntFM,,bceT,,Combined
c-NBCE0200,ClinicalInvasive,Bacillus cereus,7,28,Phenotypic Bacillus cereus,PhospholipaseC,,HemolysinIII,,HemolysinA,HBL,EntFM,,bceT,Cytk1,Combined
c-NBCE0201,ClinicalInvasive,Bacillus cereus,7,28,Phenotypic Bacillus cereus,PhospholipaseC,nhe,HemolysinIII,,HemolysinA,HBL,EntFM,,bceT,,Combined
c-NBCE0202,ClinicalInvasive,Bacillus cereus,7,28,Phenotypic Bacillus cereus,PhospholipaseC,,HemolysinIII,,HemolysinA,,EntFM,,bceT,Cytk1,Combined
c-NBCE0203,ClinicalInvasive,Bacillus cereus,7,28,Phenotypic Bacillus cereus,PhospholipaseC,nhe,HemolysinIII,,HemolysinA,,EntFM,,,Cytk1,Combined
c-NBCE0204,ClinicalInvasive,Bacillus cereus,7,28,Phenotypic Bacillus cereus,PhospholipaseC,nhe,HemolysinIII,,HemolysinA,HBL,EntFM,,bceT,Cytk1,Combined
c-NBCE0254,ClinicalInvasive,Bacillus cereus,7,28,Phenotypic Bacillus cereus,PhospholipaseC,nhe,HemolysinIII,,HemolysinA,,EntFM,,,Cytk1,Combined
c-NBCE0255,ClinicalInvasive,Bacillus cereus,7,28,Phenotypic Bacillus cereus,PhospholipaseC,nhe,HemolysinIII,,HemolysinA,,EntFM,,,Cytk1,Combined
c-NBCE0256,ClinicalInvasive,Bacillus cereus,7,28,Phenotypic Bacillus cereus,PhospholipaseC,,HemolysinIII,,HemolysinA,,EntFM,,,Cytk1,Combined
c-NBCE0257,ClinicalInvasive,Bacillus cereus,7,28,Phenotypic Bacillus cereus,PhospholipaseC,,HemolysinIII,,HemolysinA,,EntFM,,,Cytk1,Combined
c-NBCE0258,ClinicalInvasive,Bacillus cereus,7,28,Phenotypic Bacillus cereus,PhospholipaseC,nhe,HemolysinIII,,HemolysinA,,EntFM,,,Cytk1,Combined
c-NBCE0264,ClinicalInvasive,Bacillus cereus,12,46,Phenotypic Bacillus cereus,PhospholipaseC,nhe,HemolysinIII,,HemolysinA,HBL,EntFM,,,Cytk1,Combined
c-NBCE0265,ClinicalInvasive,Bacillus cereus,12,46,Phenotypic Bacillus cereus,PhospholipaseC,nhe,HemolysinIII,,HemolysinA,HBL,EntFM,,,Cytk1,Combined
c-NBCE0266,ClinicalInvasive,Bacillus cereus,12,46,Phenotypic Bacillus cereus,PhospholipaseC,nhe,HemolysinIII,,HemolysinA,HBL,EntFM,,,Cytk1,Combined
c-NBCE0267,ClinicalInvasive,Bacillus cereus,12,46,Phenotypic Bacillus cereus,PhospholipaseC,nhe,HemolysinIII,,HemolysinA,HBL,EntFM,,,Cytk1,Combined
c-NBCE0268,ClinicalInvasive,Bacillus cereus,12,46,Phenotypic Bacillus cereus,PhospholipaseC,nhe,HemolysinIII,,HemolysinA,HBL,EntFM,,,Cytk1,Combined
c-NBCE0269,ClinicalInvasive,Bacillus cereus,1,5,Phenotypic Bacillus cereus,PhospholipaseC,nhe,HemolysinIII,,HemolysinA,,,,,,Combined
c-NBCE0270,ClinicalInvasive,Bacillus cereus,1,5,Phenotypic Bacillus cereus,PhospholipaseC,nhe,HemolysinIII,,HemolysinA,,,,,,Combined
c-NBCE0271,ClinicalInvasive,Bacillus cereus,1,5,Phenotypic Bacillus cereus,PhospholipaseC,nhe,HemolysinIII,,HemolysinA,,,,,,Combined
c-NBCE0272,ClinicalInvasive,Bacillus cereus,1,5,Phenotypic Bacillus cereus,PhospholipaseC,nhe,HemolysinIII,,HemolysinA,,,,,,Combined
c-NBCE0273,ClinicalInvasive,Bacillus cereus,1,5,Phenotypic Bacillus cereus,PhospholipaseC,nhe,HemolysinIII,,HemolysinA,,EntFM,,,,Combined
c-NBCE0289,ClinicalInvasive,Bacillus cereus,3,14,Phenotypic Bacillus cereus,PhospholipaseC,nhe,HemolysinIII,,HemolysinA,,,,,Cytk1,Combined
c-NBCE0290,ClinicalInvasive,Bacillus cereus,3,14,Phenotypic Bacillus cereus,PhospholipaseC,nhe,HemolysinIII,,HemolysinA,,,,,Cytk1,Combined
c-NBCE0291,ClinicalInvasive,Bacillus cereus,3,14,Phenotypic Bacillus cereus,PhospholipaseC,nhe,HemolysinIII,,HemolysinA,,,,,Cytk1,Combined
c-NBCE0292,ClinicalInvasive,Bacillus cereus,3,14,Phenotypic Bacillus cereus,PhospholipaseC,nhe,HemolysinIII,,HemolysinA,,,,,Cytk1,Combined
c-NBCE0293,ClinicalInvasive,Bacillus cereus,3,14,Phenotypic Bacillus cereus,PhospholipaseC,nhe,HemolysinIII,,HemolysinA,,EntFM,,,,Combined
c-NBCE0299,ClinicalInvasive,Bacillus cereus,6,24,Phenotypic Bacillus cereus,PhospholipaseC,nhe,HemolysinIII,,HemolysinA,,,,,,Combined
c-NBCE0300,ClinicalInvasive,Bacillus cereus,6,24,Phenotypic Bacillus cereus,PhospholipaseC,nhe,HemolysinIII,,HemolysinA,,EntFM,,,,Combined
c-NBCE0301,ClinicalInvasive,Bacillus cereus,6,24,Phenotypic Bacillus cereus,PhospholipaseC,nhe,HemolysinIII,,HemolysinA,,,,,,Combined
c-NBCE0302,ClinicalInvasive,Bacillus cereus,6,24,Phenotypic Bacillus cereus,PhospholipaseC,nhe,HemolysinIII,,HemolysinA,,,,,,Combined
c-NBCE0303,ClinicalInvasive,Bacillus cereus,6,24,Phenotypic Bacillus cereus,PhospholipaseC,,HemolysinIII,,HemolysinA,,,,,,Combined
c-NBCE0304,ClinicalInvasive,Bacillus cereus,6,23,Phenotypic Bacillus cereus,PhospholipaseC,nhe,HemolysinIII,,HemolysinA,,EntFM,,,,Combined
c-NBCE0305,ClinicalInvasive,Bacillus cereus,6,23,Phenotypic Bacillus cereus,PhospholipaseC,nhe,HemolysinIII,,HemolysinA,,EntFM,,,,Combined
c-NBCE0306,ClinicalInvasive,Bacillus cereus,6,23,Phenotypic Bacillus cereus,PhospholipaseC,,HemolysinIII,,HemolysinA,,EntFM,,,,Combined
c-NBCE0307,ClinicalInvasive,Bacillus cereus,6,23,Phenotypic Bacillus cereus,PhospholipaseC,nhe,HemolysinIII,,HemolysinA,,EntFM,,,,Combined
c-NBCE0308,ClinicalInvasive,Bacillus cereus,6,23,Phenotypic Bacillus cereus,PhospholipaseC,nhe,HemolysinIII,,HemolysinA,,EntFM,,,,Combined
c-NBCE0309,ClinicalInvasive,Bacillus cereus,1,2,Phenotypic Bacillus cereus,PhospholipaseC,nhe,HemolysinIII,,HemolysinA,,EntFM,,,,Combined
c-NBCE0310,ClinicalInvasive,Bacillus cereus,1,2,Phenotypic Bacillus cereus,PhospholipaseC,nhe,HemolysinIII,,HemolysinA,,,,,,Combined
c-NBCE0311,ClinicalInvasive,Bacillus cereus,1,2,Phenotypic Bacillus cereus,PhospholipaseC,nhe,HemolysinIII,,HemolysinA,,EntFM,,,,Combined
c-NBCE0312,ClinicalInvasive,Bacillus cereus,1,2,Phenotypic Bacillus cereus,PhospholipaseC,nhe,HemolysinIII,,HemolysinA,,EntFM,,,,Combined
c-NBCE0313,ClinicalInvasive,Bacillus cereus,1,2,Phenotypic Bacillus cereus,PhospholipaseC,nhe,HemolysinIII,,HemolysinA,,EntFM,,,,Combined
c-NBCE0376,ClinicalInvasive,Bacillus. oceanisediminis,n/a,n/a,Phenotypic Bacillus cereus,,,,,,,,,,,Combined
c-NBCE0377,ClinicalInvasive,Bacillus. oceanisediminis,n/a,n/a,Phenotypic Bacillus cereus,,,,,,,,,,,Combined
c-NBCE0378,ClinicalInvasive,Bacillus. oceanisediminis,n/a,n/a,Phenotypic Bacillus cereus,,,,,,,,,,,Combined
c-NBCE0379,ClinicalInvasive,Bacillus. oceanisediminis,n/a,n/a,Phenotypic Bacillus cereus,,,,,,,,,,,Combined
c-NBCE0380,ClinicalInvasive,Bacillus. oceanisediminis,n/a,n/a,Phenotypic Bacillus cereus,,,,,,,,,,,Combined
c-NBCE0381,ClinicalInvasive,Bacillus. oceanisediminis,n/a,n/a,Phenotypic Bacillus cereus,,,,,,,,,,,Combined
c-NBCE0382,ClinicalInvasive,Bacillus. oceanisediminis,n/a,n/a,Phenotypic Bacillus cereus,,,,,,,,,,,Combined
c-NBCE0383,ClinicalInvasive,Bacillus. oceanisediminis,n/a,n/a,Phenotypic Bacillus cereus,,,,,,,,,,,Combined
c-NBCE0384,ClinicalInvasive,Bacillus. oceanisediminis,n/a,n/a,Phenotypic Bacillus cereus,,,,,,,,,,,Combined
c-NBCE0385,ClinicalInvasive,Bacillus. oceanisediminis,n/a,n/a,Phenotypic Bacillus cereus,,,,,,,,,,,Combined
c-NBCE0451,ClinicalInvasive,Bacillus cereus,1,2,Phenotypic Bacillus cereus,PhospholipaseC,nhe,HemolysinIII,,HemolysinA,,EntFM,,,,Combined
c-NBCE0452,ClinicalInvasive,Bacillus cereus,6,25,Phenotypic Bacillus cereus,PhospholipaseC,nhe,HemolysinIII,,HemolysinA,,EntFM,,,,Combined
c-NBCE0453,ClinicalInvasive,Bacillus cereus,12,48,Phenotypic Bacillus cereus,PhospholipaseC,nhe,HemolysinIII,,HemolysinA,HBL,,,,,Combined
c-NBCE0455,ClinicalInvasive,Bacillus cereus,6,26,Phenotypic Bacillus cereus,PhospholipaseC,nhe,HemolysinIII,,HemolysinA,HBL,EntFM,,,,Combined
c-NBCE0466,ClinicalInvasive,Bacillus cereus,3,14,Phenotypic Bacillus cereus,PhospholipaseC,nhe,HemolysinIII,,HemolysinA,,,,,Cytk1,Combined
c-NBCE0467,ClinicalInvasive,Bacillus cereus,6,25,Phenotypic Bacillus cereus,PhospholipaseC,nhe,HemolysinIII,,HemolysinA,,EntFM,,,,Combined
c-NBCE0468,ClinicalInvasive,Bacillus cereus,6,25,Phenotypic Bacillus cereus,PhospholipaseC,nhe,HemolysinIII,,HemolysinA,,EntFM,,,,Combined
c-NBCE0469,ClinicalInvasive,Bacillus cereus,5,20,Phenotypic Bacillus cereus,PhospholipaseC,nhe,HemolysinIII,,HemolysinA,,EntFM,,,,Combined
c-NBCE0475,ClinicalInvasive,Bacillus cereus,3,14,Phenotypic Bacillus cereus,PhospholipaseC,nhe,HemolysinIII,,HemolysinA,,,,,Cytk1,Combined
c-NBCE0481,ClinicalInvasive,Bacillus cereus,1,4,Phenotypic Bacillus cereus,PhospholipaseC,,HemolysinIII,,HemolysinA,,,,,,Combined
c-NBCE0482,ClinicalInvasive,Bacillus cereus,7,28,Phenotypic Bacillus cereus,PhospholipaseC,nhe,HemolysinIII,,HemolysinA,HBL,EntFM,,,Cytk1,Combined
c-NBCE0505,ClinicalInvasive,Bacillus cereus,1,3,Phenotypic Bacillus cereus,PhospholipaseC,nhe,HemolysinIII,,HemolysinA,,,,,,Combined
c-NBCE0506,ClinicalInvasive,Bacillus cereus,1,4,Phenotypic Bacillus cereus,PhospholipaseC,nhe,HemolysinIII,,HemolysinA,,,,,,Combined
c-NBCE0507,ClinicalInvasive,Bacillus cereus,1,4,Phenotypic Bacillus cereus,PhospholipaseC,,HemolysinIII,,HemolysinA,,,,,,Combined
c-NBCE0508,ClinicalInvasive,Bacillus cereus,n/a,n/a,Phenotypic Bacillus cereus,,nhe,,,,,,,,,Combined
c-NBCE0509,ClinicalInvasive,Bacillus cereus,1,4,Phenotypic Bacillus cereus,PhospholipaseC,nhe,HemolysinIII,,HemolysinA,,,,,,Combined
c-NBCE0510,ClinicalInvasive,Bacillus cereus,1,4,Phenotypic Bacillus cereus,PhospholipaseC,,HemolysinIII,,HemolysinA,,,,,,Combined
c-NBCE0526,ClinicalInvasive,Bacillus cereus,1,3,Phenotypic Bacillus cereus,PhospholipaseC,nhe,HemolysinIII,,HemolysinA,,EntFM,,,,Combined
c-NBCE0533,ClinicalInvasive,Bacillus cereus,4,18,Phenotypic Bacillus cereus,PhospholipaseC,nhe,HemolysinIII,,HemolysinA,,EntFM,,,Cytk1,Combined
c-NBCE0534,ClinicalInvasive,Bacillus cereus,4,18,Phenotypic Bacillus cereus,PhospholipaseC,nhe,HemolysinIII,,HemolysinA,,EntFM,,,Cytk1,Combined
c-NBCE0542,ClinicalInvasive,Bacillus. simplex,n/a,n/a,Phenotypic Bacillus cereus,,nhe,,,,,,,,,Combined
c-NBCE0554,ClinicalInvasive,Bacillus cereus,7,28,Phenotypic Bacillus cereus,PhospholipaseC,nhe,HemolysinIII,,HemolysinA,HBL,EntFM,,bceT,Cytk1,Combined
c-NBCE0555,ClinicalInvasive,Bacillus cereus,7,28,Phenotypic Bacillus cereus,PhospholipaseC,,HemolysinIII,,HemolysinA,HBL,EntFM,,,Cytk1,Combined
c-NBCE0556,ClinicalInvasive,Bacillus cereus,7,28,Phenotypic Bacillus cereus,PhospholipaseC,,HemolysinIII,,HemolysinA,HBL,EntFM,,bceT,Cytk1,Combined
c-NBCE0557,ClinicalInvasive,Bacillus cereus,7,28,Phenotypic Bacillus cereus,PhospholipaseC,nhe,HemolysinIII,,HemolysinA,,EntFM,,bceT,Cytk1,Combined
c-NBCE0558,ClinicalInvasive,Bacillus cereus,7,28,Phenotypic Bacillus cereus,PhospholipaseC,,HemolysinIII,,HemolysinA,HBL,EntFM,,,Cytk1,Combined
c-NBCE0559,ClinicalInvasive,Bacillus cereus,7,28,Phenotypic Bacillus cereus,PhospholipaseC,nhe,HemolysinIII,,,HBL,EntFM,,bceT,Cytk1,Combined
c-NBCE0560,ClinicalInvasive,Bacillus cereus,7,28,Phenotypic Bacillus cereus,PhospholipaseC,,HemolysinIII,,HemolysinA,HBL,EntFM,,bceT,Cytk1,Combined
c-NBCE0561,ClinicalInvasive,Bacillus cereus,7,28,Phenotypic Bacillus cereus,PhospholipaseC,,HemolysinIII,,HemolysinA,HBL,EntFM,,bceT,Cytk1,Combined
c-NBCE0562,ClinicalInvasive,Bacillus cereus,7,28,Phenotypic Bacillus cereus,PhospholipaseC,nhe,HemolysinIII,,HemolysinA,,,,bceT,Cytk1,Combined
c-NBCE0563,ClinicalInvasive,Bacillus cereus,7,28,Phenotypic Bacillus cereus,PhospholipaseC,nhe,HemolysinIII,,HemolysinA,HBL,EntFM,,,Cytk1,Combined
c-NBCE0568,ClinicalInvasive,Bacillus cereus,7,27,Phenotypic Bacillus cereus,PhospholipaseC,nhe,HemolysinIII,,HemolysinA,HBL,EntFM,,bceT,Cytk1,Combined
c-NBCE0569,ClinicalInvasive,Bacillus cereus,7,27,Phenotypic Bacillus cereus,,nhe,HemolysinIII,,HemolysinA,HBL,EntFM,,,,Combined
c-NBCE0570,ClinicalInvasive,Bacillus cereus,7,27,Phenotypic Bacillus cereus,PhospholipaseC,nhe,HemolysinIII,,HemolysinA,HBL,EntFM,,bceT,Cytk1,Combined
c-NBCE0571,ClinicalInvasive,Bacillus cereus,7,27,Phenotypic Bacillus cereus,PhospholipaseC,nhe,HemolysinIII,,HemolysinA,HBL,EntFM,,bceT,Cytk1,Combined
c-NBCE0572,ClinicalInvasive,Bacillus cereus,7,27,Phenotypic Bacillus cereus,,nhe,HemolysinIII,,HemolysinA,HBL,EntFM,,,Cytk1,Combined
c-NBCE0573,ClinicalInvasive,Bacillus cereus,2,8,Phenotypic Bacillus cereus,PhospholipaseC,nhe,HemolysinIII,,HemolysinA,,EntFM,,,,Combined
c-NBCE0574,ClinicalInvasive,Bacillus cereus,1,3,Phenotypic Bacillus cereus,PhospholipaseC,nhe,HemolysinIII,,HemolysinA,,,,,,Combined
c-NBCE0582,ClinicalInvasive,Bacillus cereus,5,20,Phenotypic Bacillus cereus,PhospholipaseC,nhe,HemolysinIII,,HemolysinA,,EntFM,,,,Combined
c-NBCE0583,ClinicalInvasive,Bacillus cereus,5,20,Phenotypic Bacillus cereus,PhospholipaseC,nhe,HemolysinIII,,HemolysinA,,EntFM,,,,Combined
c-NBCE0584,ClinicalInvasive,Bacillus cereus,5,20,Phenotypic Bacillus cereus,PhospholipaseC,nhe,HemolysinIII,,HemolysinA,,EntFM,,,,Combined
c-NBCE0585,ClinicalInvasive,Bacillus cereus,5,20,Phenotypic Bacillus cereus,PhospholipaseC,nhe,HemolysinIII,,HemolysinA,,EntFM,,,,Combined
c-NBCE0586,ClinicalInvasive,Bacillus cereus,5,20,Phenotypic Bacillus cereus,PhospholipaseC,nhe,HemolysinIII,,HemolysinA,,EntFM,,,,Combined
c-NBCE0589,ClinicalInvasive,Bacillus cereus,5,22,Phenotypic Bacillus cereus,PhospholipaseC,nhe,HemolysinIII,,HemolysinA,,EntFM,,bceT,,Combined
c-NBCE0590,ClinicalInvasive,Bacillus cereus,3,15,Phenotypic Bacillus cereus,PhospholipaseC,,HemolysinIII,,HemolysinA,,EntFM,,,,Combined
c-NBCE0591,ClinicalInvasive,Bacillus cereus,7,28,Phenotypic Bacillus cereus,PhospholipaseC,nhe,HemolysinIII,,HemolysinA,,EntFM,,,Cytk1,Combined
c-NBCE0592,ClinicalInvasive,Bacillus cereus,1,7,Phenotypic Bacillus cereus,PhospholipaseC,nhe,HemolysinIII,,HemolysinA,,EntFM,,,,Combined
c-NBCE0593,ClinicalInvasive,Bacillus cereus,1,7,Phenotypic Bacillus cereus,PhospholipaseC,nhe,HemolysinIII,,HemolysinA,,EntFM,,,,Combined
c-NBCE0594,ClinicalInvasive,Bacillus cereus,1,7,Phenotypic Bacillus cereus,PhospholipaseC,nhe,HemolysinIII,,HemolysinA,,,,,,Combined
c-NBCE0595,ClinicalInvasive,Bacillus cereus,1,7,Phenotypic Bacillus cereus,PhospholipaseC,nhe,HemolysinIII,,HemolysinA,,EntFM,,,,Combined
c-NBCE0596,ClinicalInvasive,Bacillus cereus,1,7,Phenotypic Bacillus cereus,PhospholipaseC,nhe,HemolysinIII,,HemolysinA,,EntFM,,,,Combined
c-NBCE0598,ClinicalInvasive,Bacillus cereus,2,8,Phenotypic Bacillus cereus,PhospholipaseC,nhe,HemolysinIII,,HemolysinA,,EntFM,Cereulide,,,Combined
c-NBCE0600,ClinicalInvasive,Micrococcus-luteus,n/a,n/a,Phenotypic Bacillus cereus,,nhe,,,,,,,,,Combined
c-NBCE0602,ClinicalInvasive,Bacillus cereus,7,27,Phenotypic Bacillus cereus,PhospholipaseC,,HemolysinIII,,HemolysinA,HBL,EntFM,,,Cytk1,Combined
c-NBCE0603,ClinicalInvasive,Bacillus cereus,7,28,Phenotypic Bacillus cereus,PhospholipaseC,nhe,HemolysinIII,,HemolysinA,,,,,Cytk1,Combined
c-NBCE0604,ClinicalInvasive,Bacillus cereus,10,43,Phenotypic Bacillus cereus,PhospholipaseC,nhe,HemolysinIII,,HemolysinA,HBL,EntFM,,,,Combined
c-NBCE0605,ClinicalInvasive,Bacillus cereus,7,33,Phenotypic Bacillus cereus,PhospholipaseC,nhe,HemolysinIII,HemolysinII,HemolysinA,HBL,EntFM,,,Cytk1,Combined
c-NBCE0606,ClinicalInvasive,Bacillus cereus,7,30,Phenotypic Bacillus cereus,PhospholipaseC,nhe,HemolysinIII,,HemolysinA,HBL,EntFM,,bceT,,Combined
c-NBCE0650,ClinicalInvasive,Bacillus cereus,14,52,Phenotypic Bacillus cereus,PhospholipaseC,nhe,HemolysinIII,,HemolysinA,,,,,,Combined
